Date,Year,Month,Quarter,Day
2021-06-03,2021,Jun,Q2,3
2021-06-04,2021,Jun,Q2,4
2021-06-05,2021,Jun,Q2,5
2021-06-06,2021,Jun,Q2,6
2021-06-07,2021,Jun,Q2,7
2021-06-08,2021,Jun,Q2,8
2021-06-09,2021,Jun,Q2,9
2021-06-10,2021,Jun,Q2,10
2021-06-11,2021,Jun,Q2,11
2021-06-12,2021,Jun,Q2,12
2021-06-13,2021,Jun,Q2,13
2021-06-14,2021,Jun,Q2,14
2021-06-15,2021,Jun,Q2,15
2021-06-16,2021,Jun,Q2,16
2021-06-17,2021,Jun,Q2,17
2021-06-18,2021,Jun,Q2,18
2021-06-19,2021,Jun,Q2,19
2021-06-20,2021,Jun,Q2,20
2021-06-21,2021,Jun,Q2,21
2021-06-22,2021,Jun,Q2,22
2021-06-23,2021,Jun,Q2,23
2021-06-24,2021,Jun,Q2,24
2021-06-25,2021,Jun,Q2,25
2021-06-26,2021,Jun,Q2,26
2021-06-27,2021,Jun,Q2,27
2021-06-28,2021,Jun,Q2,28
2021-06-29,2021,Jun,Q2,29
2021-06-30,2021,Jun,Q2,30
2021-07-01,2021,Jul,Q3,1
2021-07-02,2021,Jul,Q3,2
2021-07-03,2021,Jul,Q3,3
2021-07-04,2021,Jul,Q3,4
2021-07-05,2021,Jul,Q3,5
2021-07-06,2021,Jul,Q3,6
2021-07-07,2021,Jul,Q3,7
2021-07-08,2021,Jul,Q3,8
2021-07-09,2021,Jul,Q3,9
2021-07-10,2021,Jul,Q3,10
2021-07-11,2021,Jul,Q3,11
2021-07-12,2021,Jul,Q3,12
2021-07-13,2021,Jul,Q3,13
2021-07-14,2021,Jul,Q3,14
2021-07-15,2021,Jul,Q3,15
2021-07-16,2021,Jul,Q3,16
2021-07-17,2021,Jul,Q3,17
2021-07-18,2021,Jul,Q3,18
2021-07-19,2021,Jul,Q3,19
2021-07-20,2021,Jul,Q3,20
2021-07-21,2021,Jul,Q3,21
2021-07-22,2021,Jul,Q3,22
2021-07-23,2021,Jul,Q3,23
2021-07-24,2021,Jul,Q3,24
2021-07-25,2021,Jul,Q3,25
2021-07-26,2021,Jul,Q3,26
2021-07-27,2021,Jul,Q3,27
2021-07-28,2021,Jul,Q3,28
2021-07-29,2021,Jul,Q3,29
2021-07-30,2021,Jul,Q3,30
2021-07-31,2021,Jul,Q3,31
2021-08-01,2021,Aug,Q3,1
2021-08-02,2021,Aug,Q3,2
2021-08-03,2021,Aug,Q3,3
2021-08-04,2021,Aug,Q3,4
2021-08-05,2021,Aug,Q3,5
2021-08-06,2021,Aug,Q3,6
2021-08-07,2021,Aug,Q3,7
2021-08-08,2021,Aug,Q3,8
2021-08-09,2021,Aug,Q3,9
2021-08-10,2021,Aug,Q3,10
2021-08-11,2021,Aug,Q3,11
2021-08-12,2021,Aug,Q3,12
2021-08-13,2021,Aug,Q3,13
2021-08-14,2021,Aug,Q3,14
2021-08-15,2021,Aug,Q3,15
2021-08-16,2021,Aug,Q3,16
2021-08-17,2021,Aug,Q3,17
2021-08-18,2021,Aug,Q3,18
2021-08-19,2021,Aug,Q3,19
2021-08-20,2021,Aug,Q3,20
2021-08-21,2021,Aug,Q3,21
2021-08-22,2021,Aug,Q3,22
2021-08-23,2021,Aug,Q3,23
2021-08-24,2021,Aug,Q3,24
2021-08-25,2021,Aug,Q3,25
2021-08-26,2021,Aug,Q3,26
2021-08-27,2021,Aug,Q3,27
2021-08-28,2021,Aug,Q3,28
2021-08-29,2021,Aug,Q3,29
2021-08-30,2021,Aug,Q3,30
2021-08-31,2021,Aug,Q3,31
2021-09-01,2021,Sep,Q3,1
2021-09-02,2021,Sep,Q3,2
2021-09-03,2021,Sep,Q3,3
2021-09-04,2021,Sep,Q3,4
2021-09-05,2021,Sep,Q3,5
2021-09-06,2021,Sep,Q3,6
2021-09-07,2021,Sep,Q3,7
2021-09-08,2021,Sep,Q3,8
2021-09-09,2021,Sep,Q3,9
2021-09-10,2021,Sep,Q3,10
2021-09-11,2021,Sep,Q3,11
2021-09-12,2021,Sep,Q3,12
2021-09-13,2021,Sep,Q3,13
2021-09-14,2021,Sep,Q3,14
2021-09-15,2021,Sep,Q3,15
2021-09-16,2021,Sep,Q3,16
2021-09-17,2021,Sep,Q3,17
2021-09-18,2021,Sep,Q3,18
2021-09-19,2021,Sep,Q3,19
2021-09-20,2021,Sep,Q3,20
2021-09-21,2021,Sep,Q3,21
2021-09-22,2021,Sep,Q3,22
2021-09-23,2021,Sep,Q3,23
2021-09-24,2021,Sep,Q3,24
2021-09-25,2021,Sep,Q3,25
2021-09-26,2021,Sep,Q3,26
2021-09-27,2021,Sep,Q3,27
2021-09-28,2021,Sep,Q3,28
2021-09-29,2021,Sep,Q3,29
2021-09-30,2021,Sep,Q3,30
2021-10-01,2021,Oct,Q4,1
2021-10-02,2021,Oct,Q4,2
2021-10-03,2021,Oct,Q4,3
2021-10-04,2021,Oct,Q4,4
2021-10-05,2021,Oct,Q4,5
2021-10-06,2021,Oct,Q4,6
2021-10-07,2021,Oct,Q4,7
2021-10-08,2021,Oct,Q4,8
2021-10-09,2021,Oct,Q4,9
2021-10-10,2021,Oct,Q4,10
2021-10-11,2021,Oct,Q4,11
2021-10-12,2021,Oct,Q4,12
2021-10-13,2021,Oct,Q4,13
2021-10-14,2021,Oct,Q4,14
2021-10-15,2021,Oct,Q4,15
2021-10-16,2021,Oct,Q4,16
2021-10-17,2021,Oct,Q4,17
2021-10-18,2021,Oct,Q4,18
2021-10-19,2021,Oct,Q4,19
2021-10-20,2021,Oct,Q4,20
2021-10-21,2021,Oct,Q4,21
2021-10-22,2021,Oct,Q4,22
2021-10-23,2021,Oct,Q4,23
2021-10-24,2021,Oct,Q4,24
2021-10-25,2021,Oct,Q4,25
2021-10-26,2021,Oct,Q4,26
2021-10-27,2021,Oct,Q4,27
2021-10-28,2021,Oct,Q4,28
2021-10-29,2021,Oct,Q4,29
2021-10-30,2021,Oct,Q4,30
2021-10-31,2021,Oct,Q4,31
2021-11-01,2021,Nov,Q4,1
2021-11-02,2021,Nov,Q4,2
2021-11-03,2021,Nov,Q4,3
2021-11-04,2021,Nov,Q4,4
2021-11-05,2021,Nov,Q4,5
2021-11-06,2021,Nov,Q4,6
2021-11-07,2021,Nov,Q4,7
2021-11-08,2021,Nov,Q4,8
2021-11-09,2021,Nov,Q4,9
2021-11-10,2021,Nov,Q4,10
2021-11-11,2021,Nov,Q4,11
2021-11-12,2021,Nov,Q4,12
2021-11-13,2021,Nov,Q4,13
2021-11-14,2021,Nov,Q4,14
2021-11-15,2021,Nov,Q4,15
2021-11-16,2021,Nov,Q4,16
2021-11-17,2021,Nov,Q4,17
2021-11-18,2021,Nov,Q4,18
2021-11-19,2021,Nov,Q4,19
2021-11-20,2021,Nov,Q4,20
2021-11-21,2021,Nov,Q4,21
2021-11-22,2021,Nov,Q4,22
2021-11-23,2021,Nov,Q4,23
2021-11-24,2021,Nov,Q4,24
2021-11-25,2021,Nov,Q4,25
2021-11-26,2021,Nov,Q4,26
2021-11-27,2021,Nov,Q4,27
2021-11-28,2021,Nov,Q4,28
2021-11-29,2021,Nov,Q4,29
2021-11-30,2021,Nov,Q4,30
2021-12-01,2021,Dec,Q4,1
2021-12-02,2021,Dec,Q4,2
2021-12-03,2021,Dec,Q4,3
2021-12-04,2021,Dec,Q4,4
2021-12-05,2021,Dec,Q4,5
2021-12-06,2021,Dec,Q4,6
2021-12-07,2021,Dec,Q4,7
2021-12-08,2021,Dec,Q4,8
2021-12-09,2021,Dec,Q4,9
2021-12-10,2021,Dec,Q4,10
2021-12-11,2021,Dec,Q4,11
2021-12-12,2021,Dec,Q4,12
2021-12-13,2021,Dec,Q4,13
2021-12-14,2021,Dec,Q4,14
2021-12-15,2021,Dec,Q4,15
2021-12-16,2021,Dec,Q4,16
2021-12-17,2021,Dec,Q4,17
2021-12-18,2021,Dec,Q4,18
2021-12-19,2021,Dec,Q4,19
2021-12-20,2021,Dec,Q4,20
2021-12-21,2021,Dec,Q4,21
2021-12-22,2021,Dec,Q4,22
2021-12-23,2021,Dec,Q4,23
2021-12-24,2021,Dec,Q4,24
2021-12-25,2021,Dec,Q4,25
2021-12-26,2021,Dec,Q4,26
2021-12-27,2021,Dec,Q4,27
2021-12-28,2021,Dec,Q4,28
2021-12-29,2021,Dec,Q4,29
2021-12-30,2021,Dec,Q4,30
2021-12-31,2021,Dec,Q4,31
